,wavelength,pacs160,pacs100,dnu
13132,14.31639957,0,5.00E-08,-7546017286
13133,14.32149887,0,5.00E-08,-7546017286
13134,14.32660007,0,5.00E-08,-7546017286
13135,14.33180046,0,5.00E-08,-7546017286
13136,14.3368988,0,5.00E-08,-7546017286
13137,14.3421011,0,5.00E-08,-7546017286
13138,14.34720039,0,5.00E-08,-7546017286
13139,14.35239983,0,5.00E-08,-7546017286
13140,14.35750103,0,5.00E-08,-7546017286
13141,14.36270046,0,5.00E-08,-7546017286
13142,14.36779976,0,5.00E-08,-7546017286
13143,14.37300014,0,5.00E-08,-7546017286
13144,14.3781004,0,5.00E-08,-7546017286
13145,14.38329887,0,5.00E-08,-7546017286
13146,14.38850117,0,5.00E-08,-7546017286
13147,14.39369965,0,5.00E-08,-7546017286
13148,14.3987999,0,5.00E-08,-7546017286
13149,14.40400028,0,5.00E-08,-7546017286
13150,14.40919971,0,5.00E-08,-7546017286
13151,14.4144001,0,5.00E-08,-7546017286
13152,14.41959953,0,5.00E-08,-7546017286
13153,14.42479992,0,4.00E-08,-7546017286
13154,14.43000031,0,4.00E-08,-7546017286
13155,14.43519974,0,4.00E-08,-7546017286
13156,14.44040012,0,4.00E-08,-7546017286
13157,14.44559956,0,4.00E-08,-7546017286
13158,14.45090103,0,4.00E-08,-7546017286
13159,14.45610046,0,4.00E-08,-7546017286
13160,14.46129894,0,4.00E-08,-7546017286
13161,14.46650124,0,4.00E-08,-7546017286
13162,14.47179985,0,4.00E-08,-7546017286
13163,14.47700024,0,4.00E-08,-7546017286
13164,14.48229885,0,4.00E-08,-7546017286
13165,14.48750114,0,4.00E-08,-7546017286
13166,14.49279976,0,4.00E-08,-7546017286
13167,14.49800014,0,4.00E-08,-7546017286
13168,14.50329876,0,3.00E-08,-7546017286
13169,14.50850105,0,3.00E-08,-7546017286
13170,14.51379967,0,3.00E-08,-7546017286
13171,14.51910114,0,3.00E-08,-7546017286
13172,14.52429962,0,3.00E-08,-7546017286
13173,14.52960014,0,3.00E-08,-7546017286
13174,14.53489876,0,3.00E-08,-7546017286
13175,14.54020023,0,3.00E-08,-7546017286
13176,14.54549885,0,3.00E-08,-7546017286
13177,14.55070114,0,3.00E-08,-7546017286
13178,14.55599976,0,3.00E-08,-7546017286
13179,14.56130123,0,3.00E-08,-7546017286
13180,14.56659985,0,3.00E-08,-7546017286
13181,14.57190037,0,3.00E-08,-7546017286
13182,14.57730103,0,2.00E-08,-7546017286
13183,14.58259964,0,2.00E-08,-7546017286
13184,14.58790112,0,2.00E-08,-7546017286
13185,14.59319973,0,2.00E-08,-7546017286
13186,14.59850121,0,2.00E-08,-7546017286
13187,14.603899,0,2.00E-08,-7546017286
