,wavelength,spire500,spire350,spire250,dnu
212,254.719,1.05E-10,1.79E-05,0.637547,-2933316080
213,255.369,6.34E-11,2.20E-05,0.641562,-2933316080
214,256.023,3.42E-10,2.33E-05,0.64571,-2933316080
215,256.68,2.80E-10,2.45E-05,0.655746,-2933316080
216,257.34,-2.06E-10,3.35E-05,0.665866,-2933316080
217,257.938,1.64E-10,4.10E-05,0.675878,-2933316080
218,258.605,7.72E-11,4.38E-05,0.686372,-2933316080
219,259.275,1.37E-11,4.60E-05,0.696953,-2933316080
220,259.949,1.23E-10,5.49E-05,0.693838,-2933316080
221,260.559,6.16E-11,6.08E-05,0.688238,-2933316080
222,261.24,-4.76E-10,7.38E-05,0.681814,-2933316080
223,261.924,2.34E-10,8.93E-05,0.672513,-2933316080
224,262.612,-2.00E-10,0.00010567,0.663123,-2933316080
225,263.303,-1.81E-10,0.000126546,0.670572,-2933316080
226,263.929,8.44E-11,0.000157197,0.684467,-2933316080
227,264.627,-1.71E-11,0.000188864,0.700326,-2933316080
228,265.329,2.10E-10,0.000238864,0.7296,-2933316080
229,266.035,1.74E-10,0.00029427,0.752909,-2933316080
230,266.673,5.81E-12,0.000361985,0.761676,-2933316080
231,267.386,5.29E-10,0.000450254,0.756621,-2933316080
232,268.103,4.95E-10,0.000570279,0.741715,-2933316080
233,268.824,-9.52E-11,0.000706212,0.718408,-2933316080
234,269.549,2.02E-10,0.000879437,0.701132,-2933316080
235,270.204,3.10E-10,0.00108339,0.696843,-2933316080
236,270.936,9.82E-11,0.00127151,0.692259,-2933316080
237,271.672,3.84E-10,0.00147046,0.708244,-2933316080
238,272.412,-1.83E-11,0.00169867,0.724025,-2933316080
239,273.156,-7.28E-10,0.00194212,0.731575,-2933316080
240,273.829,-1.11E-09,0.00222303,0.742464,-2933316080
241,274.581,2.57E-10,0.00259352,0.744995,-2933316080
242,275.337,-1.20E-09,0.00298342,0.73894,-2933316080
243,276.098,-7.58E-10,0.00338297,0.725838,-2933316080
244,276.785,-1.30E-10,0.003865,0.716787,-2933316080
245,277.553,-5.65E-10,0.00442395,0.714797,-2933316080
246,278.326,1.13E-10,0.00495157,0.716982,-2933316080
247,279.103,-9.19E-10,0.00549233,0.705917,-2933316080
248,279.884,1.72E-10,0.00610385,0.698132,-2933316080
249,280.591,2.64E-10,0.00685667,0.686773,-2933316080
250,281.38,5.88E-10,0.00745949,0.667076,-2933316080
251,282.174,-5.63E-10,0.00836895,0.640917,-2933316080
252,282.973,-2.31E-10,0.00949611,0.624376,-2933316080
253,283.776,1.85E-10,0.0104381,0.582985,-2933316080
254,284.502,-3.63E-10,0.0125155,0.578798,-2933316080
255,285.314,1.89E-10,0.0163209,0.62029,-2933316080
256,286.13,1.35E-10,0.0181824,0.568841,-2933316080
257,286.951,2.09E-09,0.0234865,0.576801,-2933316080
258,287.694,3.20E-09,0.0284197,0.550902,-2933316080
259,288.524,5.23E-09,0.035033,0.51061,-2933316080
260,289.359,8.07E-09,0.0419788,0.454913,-2933316080
261,290.199,5.56E-09,0.0501201,0.400852,-2933316080
262,291.043,1.43E-08,0.0584513,0.338741,-2933316080
263,291.808,-5.85E-09,0.0690191,0.285887,-2933316080
264,292.662,-3.33E-08,0.0846931,0.238946,-2933316080
